nome_it,calorie100g,proteine_g,grassi_g,carboidrati_g,fibre_g,zuccheri_g,sodio_mg
Petto di pollo crudo,120,22.5,2.62,0,0,0,45
Petto di tacchino crudo,114,23.66,1.48,0.14,0,0.05,113
"Manzo macinato 90% magro, cotto",204,25.21,10.68,0,0,0,75
"Controfiletto di manzo magro, cotto",183,30.55,5.79,0,0,0,64
"Lonza di maiale, cotta",209,25.61,11.06,0,0,0,55
"Agnello, tagli misti, crudo",267,16.88,21.59,0,0,,58
"Pancetta di maiale, cruda",393,13.66,37.13,0,0,0.35,751
Prosciutto cotto a fette,164,16.6,8.8,3.63,1.3,1,814
"Salmone atlantico d'allevamento, crudo",208,20.42,13.42,0,0,0,59
"Tonno in scatola al naturale, sgocciolato",116,25.51,0.82,0,0,0,50
Gamberi crudi,71,13.61,1.01,0.91,0,0,566
Merluzzo atlantico crudo,82,17.81,0.67,0,0,0,54
"Sardine in scatola sott'olio, sgocciolate",208,24.62,11.45,0,0,0,307
Uovo intero crudo,143,12.56,9.51,0.72,0,0.37,142
Latte intero,61,3.15,3.25,4.8,0,5.05,43
Latte scremato,34,3.37,0.08,4.96,0,5.09,42
Yogurt bianco magro,63,5.25,1.55,7.04,0,7.04,70
Yogurt greco magro,73,9.95,1.92,3.94,0,3.56,34
Fiocchi di latte magri,81,10.45,2.27,4.76,0,4,308
Formaggio cheddar,410,24.25,33.82,2.13,0,0.27,644
Mozzarella di latte intero,299,22.17,22.14,2.4,0,0,486
Burro senza sale,717,0.85,81.11,0.06,0,0.06,11
Riso bianco crudo,365,7.13,0.66,79.95,1.3,0.12,5
Riso integrale crudo,367,7.54,3.2,76.25,3.6,0.66,5
Fiocchi d'avena,389,16.89,6.9,66.27,10.6,,2
Pasta di semola cruda,371,13.04,1.51,74.67,3.2,2.67,6
Pane integrale,252,12.45,3.5,42.71,6,4.34,455
Pane bianco,267,8.2,3.6,49.6,2.3,4.31,298
Quinoa cruda,368,14.12,6.07,64.16,7,,5
Lenticchie crude,352,24.63,1.06,63.35,10.7,2.03,6
Ceci crudi,378,20.47,6.04,62.95,12.2,10.7,24
Fagioli neri crudi,341,21.6,1.42,62.36,15.5,2.12,5
Fagioli rossi crudi,333,23.58,0.83,60.01,24.9,2.23,24
Patate crude,69,1.68,0.1,15.71,2.4,1.15,16
Patata dolce cruda,86,1.57,0.05,20.12,3,4.18,55
Broccoli crudi,34,2.82,0.37,6.64,2.6,1.7,33
Spinaci crudi,23,2.86,0.39,3.63,2.2,0.42,79
Carote crude,41,0.93,0.24,9.58,2.8,4.74,69
Pomodori crudi,18,0.88,0.2,3.89,1.2,2.63,5
Cipolle crude,40,1.1,0.1,9.34,1.7,4.24,4
Aglio crudo,149,6.36,0.5,33.06,2.1,1,17
Cetrioli crudi,15,0.65,0.11,3.63,0.5,1.67,2
Peperoni rossi crudi,26,0.99,0.3,6.03,2.1,4.2,4
Zucchine crude,17,1.21,0.32,3.11,1,2.5,8
Lattuga iceberg,14,0.9,0.14,2.97,1.2,1.97,10
Cavolo cappuccio crudo,25,1.28,0.1,5.8,2.5,3.2,18
Funghi champignon crudi,22,3.09,0.34,3.26,1,1.98,5
Mais dolce crudo,86,3.27,1.35,18.7,2,6.26,15
Mele crude con buccia,52,0.26,0.17,13.81,2.4,10.39,1
Banane crude,89,1.09,0.33,22.84,2.6,12.23,1
Arance crude,47,0.94,0.12,11.75,2.4,9.35,0
Fragole crude,32,0.67,0.3,7.68,2,4.89,1
Mirtilli crudi,57,0.74,0.33,14.49,2.4,9.96,1
Uva crude,69,0.72,0.16,18.1,0.9,15.48,2
Anguria cruda,30,0.61,0.15,7.55,0.4,6.2,1
Ananas crudo,50,0.54,0.12,13.12,1.4,9.85,1
Avocado crudo,160,2,14.66,8.53,6.7,0.66,7
Limoni crudi senza buccia,29,1.1,0.3,9.32,2.8,2.5,2
Mandorle,579,21.15,49.93,21.55,12.5,4.35,1
Noci,654,15.23,65.21,13.71,6.7,2.61,2
Arachidi crude,567,25.8,49.24,16.13,8.5,4.72,18
Burro di arachidi,598,22.21,51.36,22.31,5,10.49,17
Anacardi crudi,553,18.22,43.85,30.19,3.3,5.91,12
Olio extravergine di oliva,884,0,100,0,0,0,2
Miele,304,0.3,0,82.4,0.2,82.12,4
Zucchero semolato,387,0,0,99.98,0,99.8,1
